Name,Text,Location,Tags,Social_media,Web,Links
Orange,"Orange is one of the world’s leading telecommunications operators with revenues of 43.5 billion euros in 2022 and 137,000 employees worldwide at 30 September 2023, including 73,000 employees in France. The Group has a total customer base of 296 million customers worldwide at 30 September 2023, including 251 million mobile customers and 25 million fixed broadband customers. The Group is present in 26 countries. Orange is also a leading provider of global IT and telecommunication services to multinational companies under the brand Orange Business. In February 2023, the Group presented its strategic plan ""Lead the Future"", built on a new business model and guided by responsibility and efficiency. ""Lead the Future"" capitalizes on network excellence to reinforce Orange's leadership in service quality.",Hall 3 Stand 3K10,"['ARTIFICIAL INTELLIGENCE', '5G/6G', 'CYBERSECURITY', 'NETWORK SECURITY', 'NETWORK INFRASTRUCTURE']","['https://x.com/intent/tweet?text=I%20am%20at%20Orange', 'https://www.facebook.com/share.php?u=/exhibitors/26349-orange']",https://www.orange.com/en,https://www.mwcbarcelona.com/exhibitors/26349-orange
Ribbon,"Ribbon Communications (Nasdaq: RBBN) delivers communications software, IP and optical networking solutions to service providers, enterprises and critical infrastructure sectors globally. We engage deeply with our customers, helping them modernize their networks for improved competitive positioning and business outcomes in today's smart, always-on and data-hungry world. Our innovative, end-to-end solutions portfolio delivers unparalleled scale, performance, and agility, including core to edge software-centric solutions, cloud-native offers, leading-edge security and analytics tools, along with IP and optical networking solutions for 5G. We maintain a keen focus on our commitments to Environmental, Social, and Governance (ESG) matters, offering an annual Sustainability Report to our stakeholders.",Hall 2 Stand 2C42,"['ARTIFICIAL INTELLIGENCE', 'CLOUD SERVICES', '5G/6G', 'BIG DATA/ANALYTICS', 'CYBERSECURITY']","['https://x.com/intent/tweet?text=I%20am%20at%20Ribbon', 'https://www.facebook.com/share.php?u=/exhibitors/26348-ribbon']",https://www.rbbn.com/,https://www.mwcbarcelona.com/exhibitors/26348-ribbon
Tecnotree Corporation,Tecnotree Corporation: more company information coming soon.,Hall 5 Stand 5F81,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20Tecnotree%20Corporation', 'https://www.facebook.com/share.php?u=/exhibitors/26778-tecnotree-corporation']",,https://www.mwcbarcelona.com/exhibitors/26778-tecnotree-corporation
+Switzerland Global Enterprise,"We are the organization of Swiss Pavilions at MWC 2024. We support Swiss SMEs in their international business and help innovative foreign companies to establish in Switzerland. Whether goods or services, start-up or seasoned exporter, provide information, services and contacts for your entire internationalization process. Together with our companies in MWC2024, www.gms-worldwide.com; www.avatronics.com; www.dynavisual.com; www.modulos.ai; www.nexustelecom.com; www.rdm.com; https://sharekey.com; www.telecom26.com; https://threema.id (among others).",Hall 5 Stand 5C30,"['ARTIFICIAL INTELLIGENCE', '5G/6G', 'CYBERSECURITY', 'IOT', 'CLIMATE/ENVIRONMENT/SUSTAINABILITY']","['https://x.com/intent/tweet?text=I%20am%20at%20%2BSwitzerland%20Global%20Enterprise', 'https://www.facebook.com/share.php?u=/exhibitors/26637-switzerland-global-enterprise']",https://www.s-ge.com/,https://www.mwcbarcelona.com/exhibitors/26637-switzerland-global-enterprise
1nce GmbH,1nce GmbH: more company information coming soon.,Hall 3 Stand OA3B.20,[None],"['https://x.com/intent/tweet?text=I%20am%20at%201nce%20GmbH', 'https://www.facebook.com/share.php?u=/exhibitors/27268-1nce-gmbh']",,https://www.mwcbarcelona.com/exhibitors/27268-1nce-gmbh
1oT OÜ,1oT OÜ: more company information coming soon.,Hall Congress Square Stand CS110,[None],"['https://x.com/intent/tweet?text=I%20am%20at%201oT%20O%C3%9C', 'https://www.facebook.com/share.php?u=/exhibitors/27248-1ot-ou']",,https://www.mwcbarcelona.com/exhibitors/27248-1ot-ou
2operate A/S,2operate A/S: more company information coming soon.,Hall 7 Stand 6G30,[None],"['https://x.com/intent/tweet?text=I%20am%20at%202operate%20A%2FS', 'https://www.facebook.com/share.php?u=/exhibitors/27263-2operate-a-s']",,https://www.mwcbarcelona.com/exhibitors/27263-2operate-a-s
360º Pulsus,360º Pulsus: more company information coming soon.,Hall 1 Stand 1C50,[None],"['https://x.com/intent/tweet?text=I%20am%20at%20360%C2%BA%20Pulsus', 'https://www.facebook.com/share.php?u=/exhibitors/27695-360o-pulsus']",,https://www.mwcbarcelona.com/exhibitors/27695-360o-pulsus
3dthinks,3dthinks: more company information coming soon.,Hall 8.0 – 4YFN & Partner Theatres Stand 8.0C5,[None],"['https://x.com/intent/tweet?text=I%20am%20at%203dthinks', 'https://www.facebook.com/share.php?u=/exhibitors/27958-3dthinks']",,https://www.mwcbarcelona.com/exhibitors/27958-3dthinks
3Tech Corporate Limited,3Tech Corporate Limited: more company information coming soon.,Hall 6 Stand 6B64,[None],"['https://x.com/intent/tweet?text=I%20am%20at%203Tech%20Corporate%20Limited', 'https://www.facebook.com/share.php?u=/exhibitors/26307-3tech-corporate-limited']",,https://www.mwcbarcelona.com/exhibitors/26307-3tech-corporate-limited
