,Company,About,Location,Interests,Web_page,Social_media
0,Kyndryl,"Kyndryl works at the core of businesses that move the world. With a global network of experts serving customers in over 60 countries, we design, build, manage and modernize the mission-critical technology systems that the world depends on every day. We are committed to the health and continuous improvement of the vital systems at the heart of the digital economy. With our partners and thousands of customers, we co-create solutions to help enterprises reach their peak digital performance. Our world has never been more alive with opportunities. Together, we can seize them.",Connect on LinkedIn,"LOCATION
Hall 3 Stand 3B15Ex
Hall 3 Stand 3B17Ex
Hall 3 Stand 3B19Ex",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Kyndryl%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26905-kyndryl', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26905-kyndryl']"
1,Orange,"Orange is one of the world’s leading telecommunications operators with revenues of 43.5 billion euros in 2022 and 137,000 employees worldwide at 30 September 2023, including 73,000 employees in France. The Group has a total customer base of 296 million customers worldwide at 30 September 2023, including 251 million mobile customers and 25 million fixed broadband customers. The Group is present in 26 countries. Orange is also a leading provider of global IT and telecommunication services to multinational companies under the brand Orange Business. In February 2023, the Group presented its strategic plan &quot;Lead the Future&quot;, built on a new business model and guided by responsibility and efficiency. &quot;Lead the Future&quot; capitalizes on network excellence to reinforce Orange&#039;s leadership in service quality.",Hall 3 Stand 3K10,"INTERESTS
ARTIFICIAL INTELLIGENCE
5G/6G
CYBERSECURITY
NETWORK SECURITY
NETWORK INFRASTRUCTURE",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Orange%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26349-orange', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26349-orange']"
2,Ribbon,"Ribbon Communications (Nasdaq: RBBN) delivers communications software, IP and optical networking solutions to service providers, enterprises and critical infrastructure sectors globally. We engage deeply with our customers, helping them modernize their networks for improved competitive positioning and business outcomes in today&#039;s smart, always-on and data-hungry world. Our innovative, end-to-end solutions portfolio delivers unparalleled scale, performance, and agility, including core to edge software-centric solutions, cloud-native offers, leading-edge security and analytics tools, along with IP and optical networking solutions for 5G. We maintain a keen focus on our commitments to Environmental, Social, and Governance (ESG) matters, offering an annual Sustainability Report to our stakeholders.","Follow on Twitter
Connect on LinkedIn
Follow on Facebook
Read Blog","LOCATION
Hall 2 Stand 2C42
Hall 2.1 Stand 2.1C23Ex
Hall 2.1 Stand 2.1C25Ex
Hall 2.1 Stand 2.1C27Ex",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Ribbon%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26348-ribbon', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26348-ribbon']"
3,Tecnotree,"Tecnotree is a 5G-ready digital Business Support System (BSS) player, with AI/ML capabilities and multi-cloud extensibility. Tecnotree is the first company in the world to be Platinum Certified by TM Forum Open API standards, and our agile and open-source Digital BSS Stack comprises the full range (order-to-cash) of business processes and subscription management for telecom and other digital services industries creating opportunities beyond connectivity. Tecnotree also provides Fintech and B2B2X multi-experience digital marketplace to its subscriber base through the Tecnotree Moments platform to empower digitally connected communities across gaming, health, education, OTT, and other vertical ecosystems. Tecnotree digital platform products and services today serve over 1 billion subscribers globally in over 70 countries. Tecnotree is listed on Helsinki Nasdaq (TEM1V)",Hall 5 Stand 5F81,"INTERESTS
ARTIFICIAL INTELLIGENCE
5G/6G
NETWORK INFRASTRUCTURE
FINTECH/FINANCE/INSURANCE SERVICES
OSS/BSS",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20Tecnotree%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26778-tecnotree', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26778-tecnotree']"
4,(LURA) DENTAL RESIDENCY,(LURA) DENTAL RESIDENCY: more company information coming soon.,Hall 8.1 - 4YFN Stand 8.1B34.6A,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20%28LURA%29%20DENTAL%20RESIDENCY%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F28189-lura-dental-residency', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/28189-lura-dental-residency']"
5,+Switzerland Global Enterprise,"We are the organization of Swiss Pavilions at MWC 2024. We support Swiss SMEs in their international business and help innovative foreign companies to establish in Switzerland. Whether goods or services, start-up or seasoned exporter, provide information, services and contacts for your entire internationalization process. Together with our companies in MWC2024, www.gms-worldwide.com; www.avatronics.com; www.dynavisual.com; www.modulos.ai; www.nexustelecom.com; www.rdm.com; <a href=""https://sharekey.com"" target=""_blank"">https://sharekey.com</a>; www.telecom26.com; <a href=""https://threema.ch"" target=""_blank"">https://threema.ch</a>; www.acurast.com; www.csky.ai; www.mitto.ch; www.catnclever.com;","Hall 5 Stand 5C30
Hall 5 Stand 5C41","INTERESTS
ARTIFICIAL INTELLIGENCE
5G/6G
CYBERSECURITY
IOT
CLIMATE/ENVIRONMENT/SUSTAINABILITY",Web,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20%2BSwitzerland%20Global%20Enterprise%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F26637-switzerland-global-enterprise', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/26637-switzerland-global-enterprise']"
6,1nce GmbH,1nce GmbH: more company information coming soon.,Hall 3 Stand OA3B.20,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%201nce%20GmbH%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27268-1nce-gmbh', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27268-1nce-gmbh']"
7,1oT OÜ,1oT OÜ: more company information coming soon.,Hall Congress Square Stand CS110,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%201oT%20O%C3%9C%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27248-1ot-ou', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27248-1ot-ou']"
8,2operate A/S,2operate A/S: more company information coming soon.,Hall 6 Stand 6G30,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%202operate%20A%2FS%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27263-2operate-a-s', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27263-2operate-a-s']"
9,360º Pulsus,360º Pulsus: more company information coming soon.,Hall 1 Stand 1C50,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%20360%C2%BA%20Pulsus%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27695-360o-pulsus', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27695-360o-pulsus']"
10,3dthinks,3dthinks: more company information coming soon.,Hall 8.0 – 4YFN & Partner Theatres Stand 8.0C5,,,"['https://x.com/intent/tweet?text=I%20am%20going%20to%20be%20checking%20out%203dthinks%20at%20MWC.%0Ahttps%3A%2F%2Fwww.mwcbarcelona.com%2Fexhibitors%2F27958-3dthinks', 'https://www.facebook.com/share.php?u=https://www.mwcbarcelona.com/exhibitors/27958-3dthinks']"
